Time,Average Speed,F(λ_1),F(λ_2),F(λ_3),F(λ_4),F(λ_5),F(λ_6),F(λ_7),F(λ_8),F(λ_9),F(λ_10),F(λ_11),F(λ_12),F(λ_13),F(λ_14),F(λ_15),F(λ_16),F(λ_17),F(λ_18),F(λ_19),F(λ_20),Time,Average Speed,,
15,63.89,101.8605858,18.41616822,10.66618286,-12.01652984,8.09885047,-5.844626715,-3.47434604,9.87869527,54.18435998,-25.35224542,77.09822569,52.53445925,-41.37915555,17.28852339,-4.478849262,-30.17161026,-1.956497692,-19.71056046,-35.690158,15.6002699,15,63.89,30.41102505,83.69115579
16,66.4,76.16602365,6.799219891,9.099907746,13.38220347,-3.217600338,6.976668771,7.533868344,-41.33714297,-5.552789677,43.19613248,7.520797136,-80.23981625,-11.54675256,0.144222691,-12.10390905,24.69301912,-25.93495556,2.470090049,63.85112767,12.8472811,16,66.4,29.30471893,18.58157206
17,66.62,159.8459422,-22.58488605,10.97373367,-40.17642946,-10.19887063,-5.842045569,-22.24252964,10.93595361,-77.16923522,-31.89250771,-85.24977187,40.42335909,46.89051786,23.65792063,8.493188591,-35.48966635,-21.93869911,14.13646674,-11.590036,-14.38122157,17,66.62,33.52941397,-223.244759
18,69,89.80415174,-21.55341749,-10.927015,-34.00194626,-4.121911295,-23.88843726,-12.23365953,31.37793375,5.916968328,15.32807524,54.13417429,2.273218581,-66.19814836,-29.49979472,34.72029451,34.0064368,9.520483353,-28.65151492,-45.68708192,58.60361194,18,69,32.97927625,-30.88172996
19,70.41,254.8327874,23.1124078,-26.21156744,-4.789793732,-31.72110651,-9.583474384,55.52637617,-65.18341165,3.277298671,17.39407818,-8.166267713,-27.47781945,7.20073795,-51.54271013,-9.708258453,-21.99066521,23.9335558,-4.3138571,-3.735306884,-24.49939062,19,70.41,27.12483247,-158.4791747
20,70,108.3148565,3.995879046,24.76490951,-6.582704665,8.866401654,56.75203722,25.69735258,1.363200786,-21.06639661,23.13109646,-45.49022675,61.38864758,-8.672196371,57.95725729,20.79932782,5.490574681,-32.08211324,2.922224415,12.42534882,-79.40847405,20,70,34.16885725,112.2521462
21,68,193.5306936,18.72382076,26.79495895,22.58758056,25.11581596,10.58546179,-19.6878272,26.75413398,-52.89114796,-76.62538641,15.39245877,19.14974072,-38.64580483,-12.91599701,40.89200834,-25.36235169,-42.44488781,32.57499233,-36.65871884,48.31169274,21,68,34.94066358,-18.34945685
22,68.67,136.6721558,22.14706139,-18.6837906,-13.18026694,-44.29737839,-58.02308144,-54.86931404,7.874119511,22.63138803,-30.34998896,-36.88254508,-49.61075203,34.74796572,-0.680097405,-8.757071668,48.70131993,46.16662278,-16.13221849,-26.5663718,-50.07225161,22,68.67,33.43996655,-225.8366511
23,70.44,238.0182445,14.68323807,8.404144077,1.390666335,-17.70745227,-46.48931628,-18.96197806,-69.15443846,9.703636561,60.86652992,14.59982285,29.32446072,-50.78219011,-4.475573672,-19.87709023,-5.012672791,14.08759515,27.20243339,36.52218331,18.46854592,23,70.44,31.12699355,2.79254443
24,70.71,108.7227977,-27.98573865,-12.9257425,-13.18699215,-22.89358088,-21.16551052,33.65458082,-19.21653097,-13.73371657,-32.04068661,10.84170727,-51.96913768,48.66157816,-16.19073531,17.57534532,12.22101565,-36.96574976,21.38241014,-69.10546563,77.98108941,24,70.71,34.56766939,-115.0618605
