Time,Average Speed,Frambda1,Frambda2,Frambda3,Frambda4,Frambda5,Frambda6,Frambda7,Frambda8,Frambda9,Frambda10,Frambda11,Frambda12,Frambda13,Frambda14,Frambda15,Frambda16,Frambda17,Frambda18,Frambda19,Frambda20,
12,63,154.1029762,21.93106874,31.67170963,30.99769588,28.1204021,7.854598572,11.0959641,7.025589185,34.08376676,30.03226339,40.53540677,51.60585365,10.24928837,62.27589048,13.1017502,24.25053956,67.78879321,10.44550112,17.74687275,9.112232379,0.984910188
13,66,146.0618968,37.11086735,27.23826431,35.48764497,11.17826602,13.05093653,12.45361996,10.34132222,9.819539337,23.00855959,45.40028279,100.6085095,1.235394123,25.27886676,23.36751346,9.738226148,26.01761558,15.25175519,9.63642834,53.37794029,1.067168125
14,64.75,114.3353312,0.272015942,33.87730856,6.631537774,35.2780213,3.404412751,15.16777023,5.901536986,30.44709855,5.992837397,52.251228,90.41395662,38.91069338,14.98457068,7.47312381,14.6809375,3.989936431,33.93435936,6.643349792,52.85191451,1.044625654
15,63.5,131.2257998,1.012246443,20.15885459,18.10462211,3.849766466,19.25861349,36.59175418,1.071974479,50.93721083,5.809882169,85.99611611,20.84738775,72.92127932,20.64918651,3.794054758,2.073007805,5.307337072,12.82658073,15.02084521,14.68260697,1.219082597
16,66,90.84863061,13.73502418,34.82898355,10.25214228,5.287308583,31.33032612,2.16672848,0.653287454,22.84909055,34.0351847,24.95929088,85.49481845,31.5859123,34.9865484,31.34245924,14.33203878,4.316924902,34.03872009,21.72821412,27.98871953,0.832079223
17,66.07,158.1728378,5.728425839,24.22135426,69.77569841,16.29387265,22.23357998,57.67731709,3.554447016,62.52947097,30.12756618,45.90649261,50.04584662,27.31547218,17.73584414,35.94377952,0.986081852,8.884910317,10.7152245,6.681575781,44.96070849,0.99426715
18,68.83,89.50754169,36.47879757,1.711082744,7.28669036,40.72035648,38.29884013,27.60385649,35.15131349,13.72536122,18.87446057,49.6379427,22.11897736,59.99479159,12.3435984,20.05303139,2.240552301,18.43713165,43.09141832,32.72787871,57.38933895,0.678405252
19,69.57,207.8506549,16.24773874,18.83231785,29.94151499,1.018877361,0.205564055,29.88449264,58.29749575,22.21198939,22.28265409,3.806230792,74.69129543,54.18641354,35.88947537,32.46995823,22.05585296,41.75452774,16.85237042,9.877348003,13.30611256,1.230406433
20,69.33,95.43694529,26.02753773,24.2428071,37.98155229,6.422694409,11.25554372,67.95763869,13.78176422,31.34300705,13.93437328,46.41554715,37.58369795,37.66850314,55.67098983,11.26440478,14.57046337,4.18793867,21.56829425,28.67848036,36.24768595,0.706131451
21,67.82,207.8331921,22.30545279,45.04556164,9.405858929,16.16353578,27.85924113,16.42992653,50.31931181,41.66468215,63.92471125,5.764208576,7.187012018,20.33278834,10.29105285,56.27318696,33.18325635,25.20981001,15.95691254,43.43108385,35.38568861,1.124617211
22,70.67,92.16550339,24.47763312,38.91519984,21.55763063,15.20007896,62.9113405,70.3889475,34.28897133,15.41782147,36.79603009,21.74497524,26.10417038,24.07408624,38.68272405,45.46149928,19.40564557,34.79084888,17.19016596,5.021453677,1.31687278,0.668775953
