Time,Average Speed,Frambda1,Frambda2,Frambda3,Frambda4,Frambda5,Frambda6,Frambda7,Frambda8,Frambda9,Frambda10,Frambda11,Frambda12,Frambda13,Frambda14,Frambda15,Frambda16,Frambda17,Frambda18,Frambda19,Frambda20,
34,72.15,246.0477952,19.33899467,4.085581911,34.94760671,13.03064105,2.690145911,30.69533192,30.94166168,26.1697407,96.73441573,15.0163047,15.27270615,48.03415659,3.036529031,20.157944,32.7861121,10.60217708,11.51689547,45.32014647,6.0789376,0.725521261
35,69.45,164.4553363,30.95688062,29.04953854,54.73155481,36.57602979,35.83419739,10.42364003,40.8368619,11.78578857,39.50155906,75.06307103,40.07049174,23.00579276,34.57510587,33.21159168,0.267833809,17.50705204,34.16164812,71.13343657,23.27754495,0.617608938
36,69.77,267.6800685,27.69435719,21.7054708,2.196662063,11.85697656,16.50731827,1.346921725,19.72516286,26.32372649,5.058591773,23.39312126,46.46943667,52.82164319,34.00135665,2.55504374,29.79688235,34.65494312,22.85428475,31.89914327,20.46609322,0.445350849
37,64.7,138.6216102,0.290914637,5.519648,13.81410976,15.31447743,18.36758128,6.208591117,13.71781686,6.414944695,5.336975792,14.79099384,11.55275382,55.87814951,77.61434686,66.68287539,6.482817153,25.91369947,21.99594821,75.2833618,49.02299738,0.64320602
38,68.14,249.0540765,2.529833948,53.60289472,12.90807505,31.90803573,40.27957201,10.48861443,1.824774633,27.48487723,41.01375679,11.63111207,10.93275895,15.66125619,56.44230493,28.58769248,11.69686399,53.44454989,6.291785164,17.39570633,12.20317077,0.766672862
39,73.4,163.3515752,11.20547557,84.91541146,38.2796566,17.27220516,21.40113615,41.20429098,34.39875339,3.958338577,14.17848531,38.4573109,34.75771114,25.06592432,76.43058633,23.96419352,54.66458753,8.260578,49.97312701,6.637742155,3.678224432,0.693369625
40,66.59,255.2598301,70.56618932,41.06267296,50.28643207,31.93074321,1.351219964,2.330618812,2.166331768,33.49931835,16.34027487,8.947665838,36.14413077,23.47936953,27.54738872,8.803862239,0.785568456,13.98777388,6.330521253,29.64051688,16.61971332,0.635023705
41,72.25,132.6022942,37.18106964,28.79686626,38.97834027,6.691797006,7.424390549,30.22329819,19.83800711,20.53124269,15.91338918,2.139011561,50.98139128,2.773639166,34.80133704,21.93257596,20.66284763,50.59846328,46.2613421,96.26059124,21.56507898,0.763209838
42,66.13,252.455951,66.67346204,39.70984474,20.92330502,32.53334292,51.02137257,24.88164551,25.24374005,4.002610348,4.386670058,15.37330223,0.848533611,54.76815531,14.21909803,2.338907209,10.12243044,23.75193437,22.62515287,9.411233606,17.73220582,0.845524814
43,67.3,150.5667131,47.86596668,5.880869894,25.06911684,1.015537413,13.29705676,37.64636225,38.8005682,15.93680832,7.587737306,16.75205434,20.70354891,6.890798133,51.46047762,15.45807267,44.41923346,31.27636477,69.51201592,39.42132788,68.75472851,0.575993223
44,65.5,277.3739923,30.05411493,26.02916607,9.228194636,24.7127124,5.462281811,18.34184074,16.39192805,1.776822936,17.83561264,31.51386746,0.946804477,13.41835736,28.47083484,8.231643192,24.72433862,34.69536523,6.868669693,1.46563031,15.55613303,0.71497595
