Time,Average Speed,Lambda Index No.1,Lambda Index No.2,Lambda Index No.3,Lambda Index No.4,Lambda Index No.5,Lambda Index No.6,Lambda Index No.7,Lambda Index No.8,Lambda Index No.9,Lambda Index No.10,Lambda Index No.11,Lambda Index No.12,Lambda Index No.13,Lambda Index No.14,Lambda Index No.15,Lambda Index No.16,Lambda Index No.17,Lambda Index No.18,Lambda Index No.19,Lambda Index No.20,F(λ) No.1,F(λ) No.2,F(λ) No.3,F(λ) No.4,F(λ) No.5,F(λ) No.6,F(λ) No.7,F(λ) No.8,F(λ) No.9,F(λ) No.10,F(λ) No.11,F(λ) No.12,F(λ) No.13,F(λ) No.14,F(λ) No.15,F(λ) No.16,F(λ) No.17,F(λ) No.18,F(λ) No.19,F(λ) No.20
Time,Average Speed,F(λ) No.1,F(λ) No.2,F(λ) No.3,F(λ) No.4,F(λ) No.5,F(λ) No.6,F(λ) No.7,F(λ) No.8,F(λ) No.9,F(λ) No.10,F(λ) No.11,F(λ) No.12,F(λ) No.13,F(λ) No.14,F(λ) No.15,F(λ) No.16,F(λ) No.17,F(λ) No.18,F(λ) No.19,F(λ) No.20
(235+0j),(75.53+0j),(268.8394952371078+0j),(52.397609786818805+0j),(-12.874752746115295+0j),(10.067051370576465+0j),(-11.929241021881861+0j),(-40.02491917622319+0j),(-35.087863122808656+0j),(-56.868829572663955+0j),(40.39421255967266+0j),(26.702750743253645+0j),(-13.385984552188509+0j),(-1.601098708434911+0j),(-30.59996276557573+0j),(63.97243522447006+0j),(41.25200770597846+0j),(-2.526875633123254+0j),(-19.045029107757145+0j),(-35.47266781376314+0j),(-37.01250635946272+0j),(1.3486616075721969+0j)
(236+0j),(74.45+0j),(182.44874670806684+0j),(15.342769382076664+0j),(13.301628077087582+0j),(-70.27755348647251+0j),(-48.88512779478775+0j),(22.92809161698947+0j),(-39.558021542045864+0j),(9.401245420196888+0j),(-21.624490647652777+0j),(-73.17508968746155+0j),(-24.922114490523132+0j),(-67.67613613789413+0j),(47.90816611660815+0j),(-13.769605346414364+0j),(-3.7656938011877177+0j),(4.814416247453277+0j),(32.68581867990438+0j),(32.0153320232758+0j),(-10.196213396913215+0j),(49.84645253088165+0j)
(237+0j),(75.12+0j),(238.02977326470693+0j),(47.45962986631575+0j),(-10.528657127751664+0j),(-13.345963495318033+0j),(-30.193481500604946+0j),(7.517047608518256+0j),(15.137310678985534+0j),(64.32898970723048+0j),(-30.448409878334683+0j),(59.86873726371035+0j),(55.01536312669178+0j),(66.63865068749394+0j),(27.361617587460117+0j),(17.25658914090725+0j),(-11.104307341317277+0j),(-39.52826543219174+0j),(-22.295141670402728+0j),(14.542324963328292+0j),(15.854241520879757+0j),(4.692073170348451+0j)
(238+0j),(77.43+0j),(118.90058842592101+0j),(9.534489913388814+0j),(-10.18776667484229+0j),(-27.896328849294278+0j),(-2.074395642862836+0j),(4.122462019436407+0j),(-30.378084622291283+0j),(-12.581024896529234+0j),(18.493011131699788+0j),(25.58339420218461+0j),(-58.89065512098755+0j),(-67.12738534092678+0j),(-30.979256220668105+0j),(32.34055602343609+0j),(9.64537213868427+0j),(71.9594157771354+0j),(31.819790711423497+0j),(-71.16594553084079+0j),(-0.617266273144228+0j),(-59.58485252537619+0j)
(239+0j),(76.88+0j),(237.05726405892767+0j),(-0.4719532443666097+0j),(-44.797234319317454+0j),(-48.06493114098906+0j),(12.580939816882033+0j),(-35.8279238445094+0j),(-8.508189700125051+0j),(-16.89059643490379+0j),(-36.350199357744074+0j),(-88.28606456603563+0j),(-10.193027357095257+0j),(77.85387750277803+0j),(17.013739368606068+0j),(-24.417864979495945+0j),(8.50401563094049+0j),(-22.299090648257526+0j),(-45.17304261437084+0j),(11.028691445501899+0j),(-48.43828885646693+0j),(2.310461412919256+0j)
(240+0j),(72.5+0j),(127.88716356396155+0j),(-18.79771864527565+0j),(-67.31223272228016+0j),(0.4130748872406933+0j),(0.6542629817707919+0j),(-19.46682046286213+0j),(32.0140622353808+0j),(16.474805032169968+0j),(9.767884713068188+0j),(67.86144716098694+0j),(10.156703086549369+0j),(0.07833968798981239+0j),(-62.2750412423117+0j),(51.910748941809594+0j),(14.221232555627523+0j),(62.118232952715445+0j),(23.781195824985573+0j),(-26.936462153187772+0j),(-9.95333106505987+0j),(57.22711753182832+0j)
(241+0j),(75.5+0j),(256.4665303613043+0j),(-12.090303157231954+0j),(-18.385811318419083+0j),(-11.532261191735735+0j),(25.67165202001371+0j),(13.009665484080617+0j),(49.85821229233037+0j),(1.2388688147044995+0j),(22.2548744749478+0j),(30.608157466718758+0j),(-51.75476596633058+0j),(2.9031854345890746+0j),(44.307058975366644+0j),(-50.23311904138708+0j),(-0.3941367703936791+0j),(-9.817803568717434+0j),(-59.78005948004641+0j),(68.41089050647535+0j),(11.863563030145105+0j),(-9.615200716579913+0j)
(242+0j),(73.7+0j),(163.0991020287613+0j),(-16.89957784328408+0j),(7.377225938938313+0j),(25.057287145991097+0j),(7.552524375178617+0j),(-8.474908544834744+0j),(-24.651450125306+0j),(1.0849611344945274+0j),(-6.362016683198833+0j),(-75.4049901993425+0j),(9.369655712766818+0j),(43.58163331589246+0j),(-65.03217228050377+0j),(53.814804919612556+0j),(71.47487695612261+0j),(56.546060821057836+0j),(24.14310947250225+0j),(-35.308977195658024+0j),(40.43547860816007+0j),(21.32017849675482+0j)
(243+0j),(72.84+0j),(295.75985913414+0j),(-18.812061121799378+0j),(-3.07514875168501+0j),(1.0572593803562178+0j),(-33.16899374132181+0j),(-2.3721200455197717+0j),(-58.5107946249709+0j),(17.141984055532028+0j),(-33.29726314499416+0j),(8.721906913742409+0j),(-4.23009588583564+0j),(7.899277089150573+0j),(43.54627979938911+0j),(10.16898074610759+0j),(-36.30268704550908+0j),(-5.187576425840124+0j),(-18.563283179090046+0j),(0.896363771706957+0j),(-53.32535470133206+0j),(5.0912830150171935+0j)
