Time,Average Speed,avespeed1_10,avespeed11_20,avespeed1_5,avespeed6_15,avespeed16_20,F(λ_1),F(λ_2),F(λ_3)
0.0,68.39,74.0,63.25,76.33,66.83,62.6,290.0033863603862,0.9211548878921949,6.496398439398726
1.0,68.37,72.88,65.09,75.33,68.73,63.4,255.66974931397957,43.94232660733461,36.28666192827425
2.0,69.73,73.62,64.11,76.12,68.56,61.6,276.4678580620231,-11.994418083851924,-35.8876301227789
3.0,67.68,73.71,64.17,76.0,69.42,62.83,224.3904864734065,72.285874085162,27.394900832660063
4.0,68.79,75.62,63.82,76.75,69.67,62.17,242.51432944918076,32.00223123144296,-25.08648930839562
5.0,69.29,75.43,65.0,76.67,70.33,63.0,220.6892045989337,-2.6524311911786427,17.201866148675286
6.0,69.0,72.58,65.09,76.67,67.33,63.8,246.9682555011118,-5.0833035559042425,-18.061479688768294
7.0,68.47,76.83,63.91,77.0,67.38,63.4,188.8954446993166,-16.156776196781824,-9.681469807055153
8.0,68.39,74.5,63.5,76.67,69.44,62.67,214.81069124214395,-18.483328583699567,-6.108111919143525
9.0,70.0,77.0,63.58,78.29,68.3,63.17,248.56263691676787,-42.76016671095597,-51.44280481420234
10.0,68.05,72.4,63.22,78.0,67.36,63.6,227.56294523050417,-28.554030515578045,10.133255566042994
11.0,68.0,75.0,61.7,79.25,66.9,61.2,260.6660052206047,-39.147268097283074,9.31100498734891
12.0,68.5,75.5,63.25,78.83,66.54,64.44,295.9173052024943,-41.2870483014132,-20.493116707103468
13.0,68.11,77.0,62.45,79.5,67.11,60.8,250.20511123405933,-9.909916012408061,-10.125193915476224
14.0,69.67,77.36,61.2,79.25,69.38,61.0,294.48514520796857,-9.479544992981584,18.452594366022353
15.0,67.83,77.29,61.82,79.0,68.11,58.4,260.3300336569068,5.79512191756225,-15.615241166228412
16.0,69.19,74.18,63.7,78.6,67.91,62.6,268.3567870054843,-37.61204365456794,3.9148717603510335
17.0,68.47,75.25,62.44,76.33,69.9,59.0,260.6823092948191,-4.661462814474527,12.726001766475063
18.0,68.18,75.33,63.23,76.2,69.3,60.86,262.23255384061054,-8.721562568151207,9.571055863756765
19.0,67.35,72.22,63.36,75.0,67.58,62.2,196.56876371510344,-21.337549074817318,29.805699931892363
20.0,66.05,72.71,62.17,75.0,67.44,60.43,197.65737945626321,11.30051415256321,29.434092726999044
21.0,68.69,74.5,61.92,76.0,69.79,58.83,279.0355680044637,-10.62241871264903,-2.9007558941835843
22.0,68.47,77.0,62.78,78.5,68.17,60.8,230.8582638916467,10.023428352315115,-45.191311396437776
23.0,67.65,74.67,63.82,72.33,70.33,60.0,228.323162097633,42.818017587505125,-5.796882851767435
24.0,68.55,74.67,64.31,72.4,71.4,61.71,263.6253523180483,13.91295293066961,-16.73938701037992
25.0,68.88,73.5,64.25,72.5,71.6,60.25,201.61590986025624,0.19269888305835003,10.41783666937254
26.0,67.3,71.8,62.8,73.25,68.6,61.17,215.50371379653197,-24.003339939071406,-19.735956929162228
27.0,67.6,70.57,65.0,71.67,68.38,63.0,182.92667958691285,7.652676299241678,0.5890459434404693
28.0,65.79,67.33,64.4,71.25,64.8,63.4,229.92627489783544,16.881635739181437,0.28035593374311674
29.0,66.58,68.86,65.25,70.67,66.25,64.5,241.58991314503643,2.407468925265933,-11.97495834443348
30.0,66.95,69.44,64.7,71.17,63.88,66.8,241.41616300246832,-19.658909041009082,-47.42368663396408
31.0,67.18,71.33,62.5,71.0,65.0,68.25,210.08123457059173,-57.85784742244398,-28.799269613479453
32.0,67.56,71.12,64.7,71.0,67.57,64.67,228.0706889208868,-50.371453177237846,-38.05974628929681
33.0,68.21,69.5,66.78,71.0,68.33,65.2,229.83882047911126,-32.81996254325607,-38.52407166513504
34.0,66.63,68.91,63.5,71.2,66.8,60.5,225.91092020765979,-60.99092698077044,23.276575626607237
35.0,67.32,70.5,65.0,73.0,68.33,60.0,245.97664488422782,2.3614419101500523,17.763296673068886
36.0,68.14,70.89,66.08,73.0,66.78,66.43,262.5943801840762,-1.277488062204391,-23.391246207873124
37.0,67.0,70.67,63.33,74.25,66.2,61.75,231.75286938425285,-32.32491469796242,-5.4027454793514735
38.0,66.79,69.9,63.33,72.75,67.55,58.75,235.1519465383316,-25.63804974946013,12.587083860159982
39.0,68.27,70.8,66.17,73.6,67.09,66.0,232.45742066007827,-11.570850190183005,33.52411660225811
40.0,68.18,71.88,66.07,72.5,67.6,66.75,263.2432658685994,19.86506119555132,-24.067710978060205
41.0,68.71,72.5,65.27,73.0,68.2,66.0,248.01832904618863,16.3348926324415,20.90415198111279
42.0,67.68,70.17,64.7,73.25,67.31,64.2,249.10694478734712,-19.628992303534897,29.60873914190553
43.0,66.91,70.7,63.75,73.33,67.31,62.83,275.089385642915,14.419802102448308,-0.4016635428046662
44.0,67.24,70.71,64.8,73.5,65.88,64.4,230.0567074915448,-29.226230862084112,-38.955709290125455
45.0,68.71,72.58,64.83,74.0,69.0,63.71,282.71577045194545,-29.02502666653146,-20.342352611706524
46.0,68.12,73.17,65.1,73.5,67.5,64.0,217.6010635497948,-24.30939380759797,-50.487045546545815
47.0,67.88,71.82,64.54,75.2,66.77,64.17,281.10986031485146,-30.120085170125165,-63.84902040088975
48.0,68.11,71.44,65.1,74.4,66.44,64.8,264.2674846339097,-27.283713960495497,-73.46417145863728
49.0,68.18,71.67,64.0,76.8,66.58,63.4,298.61265040175374,-37.10718553553044,-42.07470160254389
50.0,68.55,72.7,64.4,75.8,67.0,63.75,303.62916641436345,-43.7230419900073,-8.318335859081728
51.0,68.87,74.9,64.23,78.2,67.33,64.17,318.4652634186642,-33.76746324442011,-24.085754030282033
52.0,68.78,74.38,64.3,79.33,68.44,64.0,228.9346642809508,-49.64137570161736,31.513798414052413
53.0,68.29,73.0,64.0,77.0,66.45,63.6,269.8291278381043,-84.00526763157403,-2.9141904537601384
54.0,68.3,72.3,64.3,80.75,66.09,63.2,253.54061073329478,-56.01693855138543,-8.551676211626672
55.0,69.17,74.9,64.77,79.8,68.55,62.57,290.8960138371081,-48.140391292642825,-38.26364123459943
56.0,68.35,76.0,62.09,78.75,68.0,62.0,299.6810060369294,-19.17011938771258,-6.536827412254359
57.0,67.06,76.0,60.8,77.5,63.5,64.4,218.26625330853082,-51.74292576291647,-15.703786309867478
58.0,66.67,74.22,61.0,74.25,66.5,61.0,239.179649270949,-44.81755670116481,29.491583372334095
59.0,67.0,76.14,60.6,79.67,65.56,62.0,216.98478601369848,-20.871534041140432,2.9929668615793474
60.0,65.5,73.22,60.15,76.6,63.36,60.17,244.16239844025395,-15.536810862434582,-21.761090495263304
61.0,67.85,76.8,58.9,78.67,67.33,62.6,251.88381035767503,-36.70902510197222,-14.327571195034537
62.0,66.73,74.4,60.33,78.6,65.55,59.0,260.2771654024955,-6.729014254985527,-28.562521949665523
63.0,66.83,72.67,61.0,76.5,66.3,58.5,230.0893156399721,-12.782113893467594,-19.299180324620018
64.0,67.0,72.42,59.78,77.4,66.64,57.4,262.666349849591,-44.95978343979961,1.838024720079563
65.0,63.45,67.62,60.67,76.33,62.82,58.17,252.24761471702615,6.496264662340138,-26.56309564767133
66.0,66.38,72.82,59.3,77.43,63.89,55.4,280.16634259960256,-56.04834712104385,-32.085857211409454
67.0,64.29,73.71,57.7,77.33,65.11,55.0,255.82323935056365,-9.790630447697227,-27.39401244611413
68.0,66.23,75.27,57.18,79.83,64.3,55.83,261.4242440718479,-33.41906318931887,-52.853230370950335
69.0,65.33,71.89,60.42,78.33,66.42,56.67,243.85425967220579,2.71088939416307,23.98269955785408
70.0,67.0,74.8,59.91,79.17,65.1,56.2,234.58260320899217,-42.54082652851081,-40.75731783909654
71.0,66.95,75.18,58.73,81.0,65.45,58.0,233.39616302255072,-40.830912329282704,-17.678122724873386
72.0,66.95,73.91,59.3,79.8,65.18,58.0,232.77511013367862,-26.61775876643589,26.832992551816666
73.0,67.24,75.33,61.17,81.67,67.5,59.5,251.900114431889,-13.332877234011418,2.1103598184619
74.0,68.45,74.25,61.5,81.4,65.85,60.75,235.24779296772905,-19.464502673956797,-21.127436678681946
75.0,67.37,76.38,60.82,81.0,66.1,59.0,194.4483565189663,-13.596267812674704,-6.273384021213083
76.0,67.77,76.1,60.83,79.5,68.08,59.33,240.40149494270983,-32.88482667400431,-15.580951792243535
77.0,66.18,73.3,60.25,75.0,67.46,59.0,269.95396575803215,-18.780072638360355,12.717135098706105
78.0,65.78,70.44,61.11,76.67,65.09,59.5,220.49799168727327,-33.88559806274424,-36.83157650530975
79.0,65.61,72.43,61.27,77.0,66.44,58.67,204.00789164424444,1.3169865174373605,-35.1656424453909
80.0,66.8,76.78,58.64,77.5,64.3,57.0,222.8871761343692,-66.39177562874706,-18.80740888046953
